PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Fare,Embarked,FamilySize,IsAlone,SurvivalLabel
80,0,3,"Taylor, Mr. Charles",male,57,3,0,5.43,S,4,0,No
81,0,3,"Lewis, Mr. Charles",male,12,1,0,11.92,S,2,0,No
82,1,2,"Brown, Mrs. Margaret",female,62,3,0,26.42,S,4,0,Yes
83,1,2,"Taylor, Miss. Sarah",female,65,2,0,22.07,S,3,0,Yes
84,0,2,"Hall, Mrs. Clara",female,71,3,1,38.32,C,5,0,No
85,0,3,"Clark, Mr. William",male,53,0,1,16.17,C,2,0,No
86,1,3,"Smith, Miss. Emma",female,17,2,0,18.11,S,3,0,Yes
87,1,3,"Brown, Miss. Alice",female,20,0,1,16.72,S,2,0,Yes
88,0,3,"Brown, Mrs. Clara",female,63,0,2,6.03,S,3,0,No
89,1,3,"Smith, Mr. Charles",male,13,3,0,15.41,Q,4,0,Yes
90,1,2,"Brown, Mrs. Florence",female,19,1,2,25.3,S,4,0,Yes
91,1,3,"Smith, Miss. Sarah",female,31,3,2,7.15,S,6,0,Yes
92,1,3,"Johnson, Miss. Sarah",female,21,0,1,19.18,Q,2,0,Yes
93,1,1,"Smith, Miss. Clara",female,50,3,0,58.98,S,4,0,Yes
94,1,1,"Wilson, Mrs. Florence",female,7,3,1,102.06,S,5,0,Yes
95,1,3,"Taylor, Miss. Anna",female,18,0,2,14.7,S,3,0,Yes
96,0,2,"Taylor, Miss. Margaret",female,54,1,0,18.3,S,2,0,No
97,0,3,"Clark, Mrs. Grace",female,38,2,0,12.02,S,3,0,No
98,1,1,"Hall, Miss. Clara",female,51,0,1,82.93,S,2,0,Yes
99,1,1,"Brown, Mrs. Sarah",female,30,3,0,89.56,Q,4,0,Yes
100,1,3,"Wilson, Mrs. Grace",female,15,1,0,19.19,S,2,0,Yes
101,0,2,"Brown, Mr. Thomas",male,48,3,2,33.56,S,6,0,No
102,0,3,"Brown, Miss. Alice",female,36,0,2,10.56,S,3,0,No
103,1,1,"Hall, Mrs. Mary",female,36,1,0,115.92,C,2,0,Yes
104,0,3,"Hall, Mr. George",male,32,1,2,8.08,C,4,0,No
105,1,2,"Johnson, Mr. William",male,19,0,1,36.46,S,2,0,Yes
106,0,3,"Smith, Mr. William",male,4,1,0,10.37,C,2,0,No
107,1,1,"Lewis, Mrs. Grace",female,54,0,2,45.08,S,3,0,Yes
108,0,3,"Clark, Mr. Edward",male,6,2,1,14.65,S,4,0,No
109,1,2,"Hall, Mr. Joseph",male,57,0,0,23.05,S,1,1,Yes
110,0,2,"Walker, Mrs. Elizabeth",female,77,2,1,27.64,S,4,0,No
111,1,2,"Clark, Miss. Alice",female,30,3,1,35.69,S,5,0,Yes
112,1,2,"Taylor, Miss. Grace",female,20,3,0,17.28,S,4,0,Yes
113,0,3,"Clark, Mr. James",male,72,2,2,6.83,S,5,0,No
114,1,3,"White, Mrs. Grace",female,46,0,2,12.61,S,3,0,Yes
115,1,1,"Hall, Mrs. Margaret",female,36,1,1,107.61,Q,3,0,Yes
116,0,1,"Clark, Mr. John",male,40,2,1,40.49,C,4,0,No
117,0,3,"Taylor, Mr. Henry",male,4,0,2,12.96,S,3,0,No
118,1,3,"Johnson, Mrs. Sarah",female,73,0,0,7.33,C,1,1,Yes
119,1,2,"Johnson, Mrs. Florence",female,57,3,1,20.39,S,5,0,Yes
120,1,3,"Wilson, Miss. Emma",female,40,0,0,10.93,S,1,1,Yes
121,1,2,"Walker, Mrs. Grace",female,16,0,1,33.68,S,2,0,Yes
122,1,1,"Hall, Miss. Clara",female,6,3,0,76.78,S,4,0,Yes
123,1,2,"Brown, Miss. Clara",female,52,0,1,19.3,Q,2,0,Yes
124,0,2,"Wilson, Mr. Henry",male,76,3,2,16.97,C,6,0,No
125,0,1,"Taylor, Mr. George",male,15,1,1,68.09,Q,3,0,No
126,1,1,"Lewis, Mr. Thomas",male,26,1,2,52.23,C,4,0,Yes
127,1,3,"Johnson, Miss. Florence",female,73,2,2,9.74,S,5,0,Yes
128,0,2,"Brown, Mr. John",male,10,2,1,26.3,S,4,0,No
129,1,2,"Walker, Miss. Emma",female,71,0,1,37.73,S,2,0,Yes
130,0,2,"Lewis, Mr. Robert",male,44,0,2,31.15,S,3,0,No
131,1,2,"White, Mr. John",male,37,3,1,34.36,S,5,0,Yes
132,0,1,"White, Mrs. Anna",female,50,2,1,97.9,S,4,0,No
133,0,3,"Clark, Mr. Henry",male,40,3,0,13.93,Q,4,0,No
134,1,3,"Johnson, Mr. William",male,68,0,2,15.06,S,3,0,Yes
135,1,2,"Brown, Mr. Robert",male,63,1,0,40,S,2,0,Yes
136,0,3,"Hall, Mr. William",male,80,1,2,10.65,S,4,0,No
137,1,1,"Walker, Mrs. Elizabeth",female,47,1,1,88.85,C,3,0,Yes
138,1,3,"Clark, Miss. Grace",female,61,1,1,15.17,S,3,0,Yes
139,1,3,"Walker, Mrs. Anna",female,26,1,1,5.78,S,3,0,Yes
140,1,1,"Lewis, Mrs. Alice",female,21,2,1,112.42,S,4,0,Yes
141,1,2,"White, Mr. John",male,51,2,0,24.65,S,3,0,Yes
142,0,3,"Lewis, Miss. Florence",female,18,0,1,18.76,S,2,0,No
143,0,3,"Walker, Mr. Edward",male,3,2,0,17.52,S,3,0,No
144,0,3,"Lewis, Mr. John",male,31,2,0,5.72,S,3,0,No
145,1,3,"Clark, Mr. James",male,64,0,2,12.73,S,3,0,Yes
146,1,2,"Clark, Mrs. Sarah",female,54,1,2,31.71,S,4,0,Yes
147,0,3,"Brown, Mr. Joseph",male,48,2,2,5.24,C,5,0,No
148,1,1,"Taylor, Miss. Emma",female,46,2,2,54.01,C,5,0,Yes
149,0,3,"White, Mr. Charles",male,59,0,1,8.02,C,2,0,No
150,1,3,"White, Mrs. Margaret",female,70,3,1,5.55,S,5,0,Yes
151,0,3,"Taylor, Mr. Thomas",male,56,3,2,11.6,Q,6,0,No
152,1,2,"Walker, Mrs. Margaret",female,67,2,0,33.18,S,3,0,Yes
153,1,1,"White, Miss. Sarah",female,42,2,1,75.67,C,4,0,Yes
154,1,3,"Clark, Mr. Henry",male,46,3,1,14.59,C,5,0,Yes
155,0,3,"White, Mr. Edward",male,19,3,0,6.89,S,4,0,No
156,1,3,"White, Mr. Edward",male,58,2,1,11.66,S,4,0,Yes
157,1,3,"Johnson, Mrs. Margaret",female,32,0,0,16.04,S,1,1,Yes
158,1,2,"Lewis, Mrs. Emma",female,79,2,2,37.91,S,5,0,Yes
159,0,3,"Taylor, Mrs. Alice",female,41,2,2,5.97,S,5,0,No
160,0,1,"White, Mr. Thomas",male,26,1,0,103.23,S,2,0,No
161,0,3,"Clark, Mr. Edward",male,12,0,1,10.97,C,2,0,No
162,1,1,"Walker, Mr. Joseph",male,41,0,1,77.27,S,2,0,Yes
163,1,3,"Taylor, Mr. Charles",male,17,3,2,18.66,S,6,0,Yes
164,1,1,"Walker, Mr. Charles",male,29,2,2,111.59,C,5,0,Yes
165,0,3,"Taylor, Mr. Joseph",male,79,0,2,14.61,S,3,0,No
166,0,3,"Wilson, Miss. Florence",female,73,0,0,6.22,Q,1,1,No
167,1,3,"Clark, Mrs. Margaret",female,4,3,2,13.18,S,6,0,Yes
168,1,1,"White, Mrs. Alice",female,8,1,1,73.25,S,3,0,Yes
169,1,3,"Lewis, Miss. Elizabeth",female,17,2,2,13.42,S,5,0,Yes
170,0,1,"White, Mr. Joseph",male,38,3,2,73.45,Q,6,0,No
171,1,1,"Clark, Mrs. Grace",female,21,3,2,77.35,C,6,0,Yes
172,0,3,"Johnson, Miss. Grace",female,28,2,0,5.76,S,3,0,No
173,0,3,"Clark, Mr. James",male,56,1,1,15.91,C,3,0,No
174,1,2,"Hall, Mr. Joseph",male,37,0,1,27.61,C,2,0,Yes
175,0,1,"Taylor, Mr. George",male,13,3,1,103.59,S,5,0,No
176,1,3,"Hall, Mrs. Grace",female,6,0,0,15.7,C,1,1,Yes
177,0,2,"Hall, Mr. Henry",male,79,2,0,24.82,S,3,0,No
178,0,3,"Smith, Miss. Florence",female,39,3,0,10.53,S,4,0,No
179,1,2,"Taylor, Miss. Elizabeth",female,75,1,2,16.28,S,4,0,Yes
180,0,3,"Wilson, Mr. Edward",male,15,1,0,11.62,S,2,0,No
181,1,3,"White, Miss. Emma",female,8,1,2,8.11,S,4,0,Yes
182,1,3,"Hall, Miss. Sarah",female,44,2,2,16.58,C,5,0,Yes
183,0,3,"Wilson, Mr. Thomas",male,36,2,0,19.12,Q,3,0,No
184,1,2,"White, Miss. Emma",female,72,2,1,18.05,S,4,0,Yes
185,1,1,"Walker, Miss. Margaret",female,11,2,1,92.48,C,4,0,Yes
186,1,1,"Wilson, Mr. James",male,76,1,0,44.06,Q,2,0,Yes
187,0,2,"Taylor, Mr. Edward",male,61,0,2,34.27,S,3,0,No
188,0,2,"Walker, Mrs. Mary",female,26,2,1,22.14,S,4,0,No
189,0,2,"Johnson, Mr. James",male,23,0,1,34.7,S,2,0,No
190,0,2,"Lewis, Mr. William",male,78,0,1,22.11,Q,2,0,No
191,1,2,"White, Mrs. Margaret",female,15,2,0,33.28,S,3,0,Yes
192,1,1,"Taylor, Mr. Thomas",male,52,3,2,66.23,S,6,0,Yes
193,0,3,"Hall, Miss. Florence",female,1,2,1,8.53,C,4,0,No
194,1,2,"Walker, Mr. Charles",male,47,1,0,31.69,S,2,0,Yes
195,0,3,"Lewis, Mr. Joseph",male,38,2,2,8.31,Q,5,0,No
196,0,2,"Walker, Mrs. Sarah",female,71,3,2,35.05,C,6,0,No
197,1,1,"Taylor, Mrs. Alice",female,73,0,0,106.3,Q,1,1,Yes
198,1,1,"Walker, Mrs. Clara",female,27,3,0,111.91,S,4,0,Yes
199,1,3,"Wilson, Mrs. Florence",female,72,3,2,17.1,C,6,0,Yes
200,1,1,"Lewis, Mr. James",male,45,0,2,119.53,Q,3,0,Yes
201,0,2,"Clark, Miss. Anna",female,18,3,1,39.82,S,5,0,No
202,1,3,"Wilson, Mr. James",male,45,0,0,19.89,S,1,1,Yes
203,0,3,"Taylor, Mr. Charles",male,60,3,2,10.69,S,6,0,No
204,0,3,"Smith, Mr. George",male,15,0,2,11.29,C,3,0,No
205,1,1,"Smith, Mr. Edward",male,77,0,1,87.82,C,2,0,Yes
206,0,2,"Hall, Miss. Florence",female,28,0,0,27.6,S,1,1,No
207,0,2,"Clark, Mrs. Grace",female,19,1,1,22.51,S,3,0,No
208,1,1,"Taylor, Miss. Grace",female,45,3,2,65.5,S,6,0,Yes
209,1,2,"Clark, Miss. Grace",female,29,2,2,18.61,S,5,0,Yes
210,0,2,"Brown, Mr. Robert",male,33,1,1,31.17,Q,3,0,No
211,0,1,"Walker, Mr. George",male,49,0,0,55.05,C,1,1,No
212,1,2,"Wilson, Miss. Florence",female,43,2,0,20.3,S,3,0,Yes
213,0,2,"Johnson, Mr. Henry",male,31,2,1,24.52,S,4,0,No
214,1,2,"Taylor, Mrs. Mary",female,61,2,0,24.27,S,3,0,Yes
215,1,3,"Lewis, Mrs. Grace",female,75,3,1,7.29,S,5,0,Yes
216,1,2,"Taylor, Miss. Grace",female,63,3,1,19.21,C,5,0,Yes
217,1,3,"Taylor, Mr. James",male,10,0,0,11.19,C,1,1,Yes
218,0,3,"Lewis, Mr. James",male,48,0,2,14.57,Q,3,0,No
219,0,3,"Smith, Mr. Robert",male,53,0,0,12.94,S,1,1,No
220,1,3,"White, Miss. Margaret",female,23,0,0,12.87,S,1,1,Yes
221,1,1,"Smith, Mrs. Anna",female,52,3,2,59.46,S,6,0,Yes
222,1,2,"White, Miss. Florence",female,71,3,0,30.92,C,4,0,Yes
223,0,3,"Johnson, Mr. James",male,6,1,0,18.52,S,2,0,No
224,0,3,"Hall, Mr. William",male,36,0,0,18.93,S,1,1,No
225,1,3,"Clark, Miss. Emma",female,39,1,2,8.61,C,4,0,Yes
226,0,3,"Hall, Mr. Joseph",male,45,0,0,11.56,C,1,1,No
227,1,3,"Walker, Miss. Clara",female,42,0,2,9.1,Q,3,0,Yes
228,1,1,"Brown, Mrs. Margaret",female,75,3,0,101.77,S,4,0,Yes
229,0,2,"Lewis, Mr. Henry",male,20,3,1,24.02,S,5,0,No
230,1,1,"Brown, Mrs. Alice",female,12,1,1,75.91,S,3,0,Yes
231,1,3,"Walker, Mr. George",male,42,3,0,9.38,S,4,0,Yes
232,1,3,"Clark, Mr. Charles",male,22,1,1,9.52,S,3,0,Yes
233,1,2,"Lewis, Mrs. Anna",female,10,2,1,38.61,C,4,0,Yes
234,0,2,"Clark, Mr. Joseph",male,51,2,2,24.5,C,5,0,No
235,0,2,"Johnson, Mr. Thomas",male,78,1,1,22.85,Q,3,0,No
236,0,2,"Walker, Mr. William",male,36,3,1,17.85,S,5,0,No
237,1,3,"Clark, Mr. Thomas",male,60,1,1,16.97,C,3,0,Yes
238,0,3,"Lewis, Mr. Joseph",male,31,2,2,7.31,S,5,0,No
239,0,3,"Brown, Mrs. Elizabeth",female,69,3,2,5.55,Q,6,0,No
240,1,1,"Clark, Miss. Anna",female,79,0,2,118.69,S,3,0,Yes
241,0,1,"Walker, Mr. William",male,29,1,1,69.93,S,3,0,No
242,1,3,"White, Mrs. Margaret",female,62,0,1,11.24,Q,2,0,Yes
243,1,2,"Brown, Miss. Margaret",female,27,3,1,26.9,S,5,0,Yes
244,1,3,"Wilson, Mr. Robert",male,15,0,1,14.72,S,2,0,Yes
245,1,3,"Clark, Mr. Edward",male,43,3,1,8.48,S,5,0,Yes
246,0,3,"Johnson, Mr. John",male,26,3,2,11.44,S,6,0,No
247,0,3,"Lewis, Mr. Robert",male,69,1,1,9.89,S,3,0,No
248,1,3,"Johnson, Mrs. Florence",female,79,3,2,6.71,S,6,0,Yes
249,0,3,"Walker, Mr. Edward",male,41,0,0,9.58,S,1,1,No
250,0,3,"Walker, Mrs. Emma",female,74,3,1,7.79,S,5,0,No
251,0,2,"Taylor, Miss. Elizabeth",female,24,2,1,30.49,C,4,0,No
252,0,3,"Taylor, Miss. Anna",female,65,3,1,15.27,S,5,0,No
253,1,3,"Lewis, Mr. Joseph",male,29,2,0,9.12,S,3,0,Yes
254,1,3,"Lewis, Mrs. Grace",female,15,0,1,16.63,C,2,0,Yes
255,0,3,"Brown, Mr. Thomas",male,14,1,1,18.12,S,3,0,No
256,0,3,"Clark, Mr. William",male,31,1,2,13.82,S,4,0,No
257,0,3,"White, Mr. Charles",male,27,0,2,10.26,S,3,0,No
258,0,3,"Taylor, Miss. Emma",female,66,0,0,19.44,C,1,1,No
259,0,1,"Clark, Mr. Edward",male,42,1,2,71.42,S,4,0,No
260,0,1,"Lewis, Miss. Alice",female,12,3,2,99.98,S,6,0,No
261,1,3,"Walker, Mr. Edward",male,12,3,2,14.96,S,6,0,Yes
262,0,3,"Taylor, Mr. Joseph",male,28,3,1,9.84,S,5,0,No
263,1,3,"Lewis, Mrs. Sarah",female,7,0,0,14.39,C,1,1,Yes
264,0,3,"Johnson, Mr. John",male,55,1,2,18.64,C,4,0,No
265,1,2,"Clark, Mrs. Anna",female,48,1,0,24.91,S,2,0,Yes
266,0,1,"Smith, Mr. Henry",male,62,0,0,87.49,S,1,1,No
267,0,3,"Brown, Mr. John",male,55,1,1,6.06,S,3,0,No
268,1,2,"Brown, Mrs. Grace",female,39,1,1,34.34,C,3,0,Yes
269,1,3,"Clark, Mr. Joseph",male,22,3,1,15.84,S,5,0,Yes
270,1,3,"White, Miss. Emma",female,12,0,0,16.29,S,1,1,Yes
271,1,2,"Smith, Mr. Charles",male,11,1,2,30.02,C,4,0,Yes
272,0,3,"Wilson, Mr. Thomas",male,66,1,2,10.88,S,4,0,No
273,1,1,"Taylor, Miss. Clara",female,64,0,2,111.1,S,3,0,Yes
274,1,2,"Smith, Mrs. Clara",female,23,3,0,15.42,S,4,0,Yes
275,1,3,"Johnson, Mrs. Anna",female,65,3,1,15.53,S,5,0,Yes
276,1,1,"Johnson, Mrs. Clara",female,27,1,2,66.14,S,4,0,Yes
277,1,1,"Taylor, Mr. John",male,12,3,0,76.27,S,4,0,Yes
278,0,3,"Johnson, Mr. William",male,2,1,1,19.3,S,3,0,No
279,1,1,"Hall, Miss. Anna",female,35,0,0,66.8,S,1,1,Yes
280,1,2,"Hall, Mrs. Anna",female,47,0,1,36.48,S,2,0,Yes
281,0,3,"Taylor, Mr. William",male,1,0,0,8.67,S,1,1,No
282,0,3,"Brown, Mr. Joseph",male,54,1,1,8.72,Q,3,0,No
283,0,1,"Lewis, Mrs. Margaret",female,7,1,0,104.35,Q,2,0,No
284,0,2,"Lewis, Mrs. Alice",female,71,3,0,24.22,S,4,0,No
285,1,3,"Smith, Miss. Alice",female,26,1,0,5.1,S,2,0,Yes
286,0,3,"Smith, Mr. William",male,49,2,0,8.08,Q,3,0,No
287,1,1,"Walker, Mrs. Emma",female,30,3,2,111.65,S,6,0,Yes
288,1,1,"Clark, Miss. Alice",female,73,0,1,93,S,2,0,Yes
289,1,2,"Taylor, Mrs. Sarah",female,30,0,0,18.4,C,1,1,Yes
290,0,2,"Taylor, Mrs. Margaret",female,16,2,0,26.3,S,3,0,No
291,0,2,"Smith, Mr. Charles",male,42,1,0,32.78,Q,2,0,No
292,1,3,"Lewis, Mrs. Anna",female,23,0,1,17.82,S,2,0,Yes
293,0,1,"Brown, Mr. Joseph",male,8,1,0,55.85,S,2,0,No
294,0,3,"White, Mrs. Anna",female,10,0,0,7.97,S,1,1,No
295,0,3,"Clark, Mr. Edward",male,7,1,2,11.5,C,4,0,No
296,0,2,"Hall, Mr. George",male,24,2,1,26.15,S,4,0,No
297,1,2,"Walker, Mrs. Mary",female,71,3,0,17.19,S,4,0,Yes
298,1,3,"Clark, Miss. Margaret",female,46,3,2,16.72,S,6,0,Yes
299,1,1,"Lewis, Mr. Robert",male,77,1,0,111.66,C,2,0,Yes
300,1,3,"Wilson, Mrs. Florence",female,30,1,0,8.72,S,2,0,Yes
301,1,2,"White, Mrs. Florence",female,23,1,0,29.81,C,2,0,Yes
302,1,3,"Wilson, Mr. Joseph",male,25,3,2,9.64,S,6,0,Yes
303,1,1,"Taylor, Mr. Henry",male,62,0,1,113.43,S,2,0,Yes
304,0,1,"White, Mr. Edward",male,76,1,0,107.72,C,2,0,No
305,0,2,"Lewis, Mr. Henry",male,42,1,0,33.31,S,2,0,No
306,0,3,"Johnson, Mr. William",male,72,2,0,14.98,C,3,0,No
307,0,3,"Hall, Mr. George",male,74,3,2,5.49,S,6,0,No
308,0,3,"Brown, Mr. Henry",male,19,2,2,6.17,S,5,0,No
309,1,1,"Smith, Mrs. Clara",female,27,1,2,45.42,S,4,0,Yes
310,1,3,"Hall, Miss. Elizabeth",female,22,3,1,18.23,S,5,0,Yes
311,1,2,"Taylor, Mr. Edward",male,5,2,0,22.97,Q,3,0,Yes
312,0,3,"Smith, Mr. Edward",male,71,0,1,13.91,S,2,0,No
313,1,3,"Walker, Mr. Robert",male,56,1,0,6.52,S,2,0,Yes
314,0,3,"Smith, Mrs. Alice",female,39,1,0,5.74,S,2,0,No
315,0,2,"Brown, Mr. Thomas",male,38,3,0,17.42,S,4,0,No
316,0,2,"Clark, Mr. William",male,51,3,1,37.37,S,5,0,No
317,1,3,"Hall, Miss. Mary",female,48,1,1,5.67,S,3,0,Yes
318,0,3,"Hall, Mr. George",male,13,0,2,10.16,S,3,0,No
319,0,3,"Wilson, Mr. Thomas",male,67,3,2,15.31,Q,6,0,No
320,1,1,"Wilson, Mrs. Elizabeth",female,5,1,0,115.94,S,2,0,Yes
321,0,1,"Johnson, Mr. Henry",male,11,3,0,119.78,S,4,0,No
322,0,1,"Smith, Mr. Joseph",male,72,3,2,66.09,S,6,0,No
323,0,1,"Hall, Mrs. Anna",female,20,1,2,87.03,C,4,0,No
324,1,3,"Taylor, Mrs. Margaret",female,45,3,1,10.75,S,5,0,Yes
325,1,1,"Lewis, Mrs. Margaret",female,78,3,0,71.66,C,4,0,Yes
326,1,1,"Taylor, Mrs. Margaret",female,39,2,1,107.43,C,4,0,Yes
327,1,3,"Clark, Mrs. Sarah",female,42,2,2,11.25,S,5,0,Yes
328,1,3,"Taylor, Mrs. Elizabeth",female,66,1,0,9.67,S,2,0,Yes
329,1,3,"White, Mr. Thomas",male,32,0,1,5.76,S,2,0,Yes
330,1,3,"Hall, Miss. Grace",female,16,0,0,10.59,S,1,1,Yes
331,0,2,"Wilson, Mrs. Elizabeth",female,34,0,1,15.69,S,2,0,No
332,0,2,"Hall, Mr. James",male,53,0,2,15.22,Q,3,0,No
333,0,2,"Wilson, Mr. Thomas",male,40,2,1,37.39,C,4,0,No
334,0,3,"Walker, Miss. Florence",female,80,3,2,6.53,S,6,0,No
335,1,2,"Johnson, Miss. Margaret",female,14,3,0,23.41,S,4,0,Yes
336,1,1,"Smith, Mr. Thomas",male,31,0,2,72.33,S,3,0,Yes
337,0,2,"White, Mrs. Elizabeth",female,54,3,1,33.42,S,5,0,No
338,1,3,"Lewis, Mrs. Emma",female,46,2,0,17.61,C,3,0,Yes
339,1,3,"Johnson, Mrs. Clara",female,72,1,2,18.49,S,4,0,Yes
340,0,2,"Lewis, Mrs. Elizabeth",female,75,2,1,36.28,S,4,0,No
